case,class,P0,P1,P2
086.png,0,0.9845739,0.015426086,8.618651e-09
120.png,0,0.9912752,0.0087226145,2.1237804e-06
161.png,1,0.26847985,0.7315202,2.010811e-09
196.png,0,0.9971468,0.0028532245,2.1141177e-16
268.png,1,0.2825084,0.71731216,0.00017939089
285.png,0,0.51048577,0.4887718,0.0007425009
295.png,1,0.04687202,0.4978324,0.45529562
298.png,1,0.12740207,0.5985514,0.27404648
300.png,2,0.0095929755,0.14843945,0.8419676
320.png,1,0.45619428,0.5402639,0.0035417804
321.png,1,0.3224991,0.6775009,2.2550897e-14
326.png,0,0.8556222,0.14437784,1.2734557e-20
402.png,0,0.6911223,0.3088467,3.096268e-05
404.png,1,0.3082263,0.6900828,0.0016908343
406.png,0,0.9942093,0.005790677,1.2574639e-09
409.png,2,0.059507955,0.4218238,0.51866823
413.png,0,0.96127737,0.038722616,8.7376784e-10
422.png,1,0.086671166,0.9133289,1.8140517e-15
437.png,2,0.01390538,0.15686321,0.82923144
462.png,2,0.12303696,0.4215116,0.45545146
464.png,2,0.019021614,0.16056806,0.8204104
473.png,1,0.1815883,0.55851024,0.25990152
479.png,2,0.0294824,0.25656563,0.71395195
488.png,2,0.027814701,0.45795658,0.51422864
491.png,2,0.058223654,0.32937714,0.6123992
496.png,1,0.30626753,0.6842851,0.009447399
528.png,2,0.0010258725,0.032068472,0.9669057
535.png,2,0.020948341,0.20578188,0.7732697
546.png,2,0.0038461026,0.068154335,0.9279996
548.png,2,0.0034129624,0.072918646,0.9236683
555.png,2,0.00041437973,0.023873467,0.9757121
560.png,2,0.00010298641,0.008760568,0.99113643
562.png,2,0.0022060433,0.05638583,0.9414081
564.png,2,0.029974204,0.25061095,0.7194149
569.png,2,0.04273343,0.34233284,0.6149337
571.png,2,0.040247172,0.27272192,0.687031
576.png,2,0.0011553022,0.03985848,0.95898616
578.png,2,0.044262163,0.3758837,0.57985413
579.png,2,0.007428539,0.09064328,0.90192825
587.png,2,0.00015455576,0.010454506,0.9893909
589.png,2,0.00017844913,0.012272224,0.9875493
599.png,2,0.0016178291,0.06316505,0.93521714
608.png,2,0.026389176,0.20178507,0.77182573
610.png,2,0.0033478613,0.1082834,0.8883687
611.png,1,0.2863425,0.6543781,0.059279364
612.png,2,0.007609918,0.12718204,0.865208
618.png,2,0.041738484,0.24181107,0.71645045
621.png,2,0.00038514324,0.02132336,0.9782915
623.png,2,0.000759223,0.034965772,0.964275
626.png,2,0.005149335,0.064615086,0.9302356
627.png,2,0.008510094,0.121003576,0.8704864
630.png,1,0.16845877,0.65900004,0.17254113
631.png,2,0.004407975,0.15080667,0.8447854
632.png,2,0.064141646,0.28742424,0.6484341
633.png,2,0.0017778398,0.06267025,0.9355519
634.png,2,0.012353384,0.18726528,0.80038136
635.png,2,0.00012910846,0.010309183,0.98956174
636.png,2,0.0005861341,0.031372923,0.96804094
638.png,2,0.0061240904,0.099068426,0.89480746
639.png,2,7.248459e-05,0.007238867,0.9926886
641.png,2,0.004303649,0.09066874,0.9050276
648.png,1,0.20512277,0.794059,0.0008183104
649.png,2,1.4275267e-05,0.0031370956,0.99684864
651.png,2,0.0027571686,0.035937924,0.9613049
652.png,2,0.019716222,0.2781094,0.7021744
653.png,2,0.0021769623,0.06401463,0.9338084
655.png,2,0.0040406035,0.06221551,0.93374395
656.png,2,0.0009087671,0.030728195,0.968363
657.png,2,5.1498337e-05,0.0060500745,0.9938984
661.png,2,0.0013510993,0.041132145,0.95751673
663.png,1,0.03708125,0.89103276,0.07188593
664.png,2,0.0009442405,0.036116913,0.96293885
719.png,2,0.003445218,0.07278345,0.9237714
727.png,2,0.0044555417,0.08899884,0.9065456
728.png,2,0.0014560629,0.051199384,0.94734454
729.png,2,0.0034350003,0.07494296,0.9216221
736.png,2,0.0072538545,0.09657973,0.89616644
737.png,1,0.24284185,0.6520701,0.1050881
741.png,2,0.0331134,0.3506318,0.6162548
756.png,2,0.019201316,0.19870028,0.78209835
758.png,1,0.26437166,0.66665494,0.06897339
770.png,1,0.22376767,0.7298163,0.046415977
771.png,2,0.05097275,0.44773206,0.50129515
776.png,2,0.054828707,0.3379642,0.60720706
779.png,2,0.008262848,0.13632397,0.8554132
782.png,2,0.000764004,0.0330883,0.96614766
783.png,2,0.006216713,0.11934075,0.8744426
785.png,2,0.0013230601,0.043968093,0.9547088
786.png,1,0.21195266,0.73487353,0.05317378
787.png,2,0.008125456,0.10490682,0.8869677
788.png,2,0.020552991,0.20817596,0.77127105
789.png,2,0.0031901563,0.06640532,0.9304045
792.png,2,0.0020190952,0.051191818,0.9467891
793.png,1,0.09603063,0.8990534,0.0049158786
794.png,2,0.00041179423,0.022704804,0.9768834
797.png,1,0.26095417,0.6244597,0.11458613
799.png,2,0.037920125,0.3368719,0.62520796
800.png,2,0.00039675744,0.019941162,0.97966206
802.png,2,0.010864585,0.116177194,0.8729582
806.png,1,0.44260952,0.50609267,0.051297832
