case,class,P0,P1,P2
086.png,0,0.999984,1.1105519e-05,4.86051e-06
120.png,0,0.9990771,0.00091858604,4.294397e-06
161.png,0,0.99870145,0.0012979015,6.044353e-07
196.png,0,1.0,8.542038e-09,4.241934e-14
268.png,0,0.8862618,0.113043584,0.00069464144
285.png,0,0.99552613,0.0044608978,1.2971192e-05
295.png,1,0.33215812,0.3730524,0.29478955
298.png,0,0.50269014,0.440036,0.05727383
300.png,1,0.30230454,0.6023536,0.095341936
320.png,0,0.9733296,0.026452959,0.00021739768
321.png,0,1.0,4.397295e-11,3.3897952e-12
326.png,0,1.0,5.0865594e-16,7.383216e-17
402.png,0,0.99796873,0.002020137,1.10895235e-05
404.png,0,0.894006,0.104739115,0.001254841
406.png,0,0.9998072,0.00013717449,5.5709028e-05
409.png,2,0.057812203,0.43629757,0.50589025
413.png,0,0.9999995,4.982568e-07,6.079316e-09
422.png,0,1.0,1.3441928e-11,3.6690036e-13
437.png,2,0.001545962,0.08550566,0.91294837
462.png,1,0.17336053,0.72116226,0.10547724
464.png,1,0.17562257,0.7354358,0.08894166
473.png,2,0.008902879,0.17186897,0.8192282
479.png,1,0.18670642,0.7388709,0.07442261
488.png,2,0.0010332657,0.0735722,0.92539454
491.png,2,0.009806598,0.28204566,0.7081477
496.png,0,0.65184826,0.191065,0.15708667
528.png,2,0.0005462096,0.050118096,0.94933563
535.png,2,0.0012127818,0.07583426,0.922953
546.png,2,0.0005747817,0.049484693,0.9499405
548.png,2,0.0061919126,0.17455858,0.8192495
555.png,2,0.0017457807,0.088242985,0.91001123
560.png,2,0.0007785491,0.051505726,0.9477157
562.png,2,0.00026262054,0.03384161,0.96589583
564.png,2,0.0055008316,0.14670366,0.84779555
569.png,2,0.0037169303,0.1484208,0.8478623
571.png,2,0.0011655203,0.07697647,0.92185795
576.png,2,0.00029525964,0.032629672,0.96707505
578.png,2,0.0013234293,0.07233265,0.92634386
579.png,2,0.001336399,0.06651952,0.9321441
587.png,2,0.00096316857,0.077005394,0.92203146
589.png,2,0.0004346605,0.040268257,0.9592971
599.png,2,0.0019879343,0.10847366,0.8895384
608.png,2,0.002436691,0.094027646,0.9035357
610.png,2,0.027238611,0.38551185,0.5872496
611.png,0,0.9279257,0.06733157,0.004742749
612.png,2,0.0005180056,0.042351145,0.95713085
618.png,2,0.013649776,0.26010296,0.7262473
621.png,2,0.00029666565,0.032650057,0.9670533
623.png,2,0.00036287226,0.03780583,0.96183133
626.png,2,0.0004044063,0.041803367,0.9577923
627.png,1,0.07670249,0.54407316,0.37922433
630.png,1,0.3170064,0.36254567,0.32044783
631.png,2,0.000515428,0.042430844,0.95705366
632.png,2,0.0008533566,0.061041713,0.93810487
633.png,2,0.0007073443,0.06598447,0.93330824
634.png,2,0.025430484,0.31231445,0.6622551
635.png,2,0.0065225363,0.18373762,0.8097398
636.png,2,0.0012591877,0.06443552,0.9343053
638.png,2,0.00091743335,0.05404424,0.9450383
639.png,2,0.000583159,0.04513301,0.95428383
641.png,2,0.00096114987,0.057233512,0.9418053
648.png,0,0.83538765,0.16079988,0.0038124344
649.png,2,0.00046167182,0.053392217,0.94614613
651.png,2,0.0010445804,0.06299202,0.93596345
652.png,2,0.00050790305,0.040163513,0.9593286
653.png,2,0.00034212522,0.036554202,0.96310365
655.png,2,0.002232353,0.10371186,0.8940558
656.png,2,0.00041612107,0.040814392,0.9587695
657.png,2,0.00051061535,0.049143564,0.95034575
661.png,2,0.00059925066,0.04767632,0.95172447
663.png,2,0.03202077,0.343967,0.62401223
664.png,2,0.009262297,0.25998294,0.73075485
719.png,2,0.002071286,0.08371706,0.9142117
727.png,2,0.0020766524,0.09584983,0.9020735
728.png,2,0.0020333736,0.08895275,0.90901387
729.png,2,0.0045986343,0.15421413,0.8411873
736.png,2,0.0011830287,0.073802784,0.9250142
737.png,1,0.2193337,0.47457144,0.30609494
741.png,2,0.0015249883,0.084259585,0.91421545
756.png,2,0.0015476013,0.08331096,0.9151414
758.png,1,0.42436352,0.45324028,0.122396305
770.png,1,0.26525712,0.55318695,0.18155588
771.png,2,0.004305377,0.1366913,0.8590033
776.png,2,0.03749666,0.40848666,0.55401665
779.png,2,0.0017352449,0.08530092,0.91296387
782.png,2,0.0009270023,0.058454823,0.9406182
783.png,2,0.036754813,0.37668562,0.58655953
785.png,2,0.0004287451,0.039689142,0.9598821
786.png,0,0.98739654,0.01254005,6.3388994e-05
787.png,1,0.03447761,0.51301026,0.45251217
788.png,2,0.01564481,0.24464212,0.7397131
789.png,2,0.0021724326,0.088508055,0.9093195
792.png,2,0.0049777455,0.13373664,0.86128557
793.png,2,0.12648317,0.3516677,0.52184916
794.png,2,0.002969532,0.121882625,0.8751478
797.png,0,0.8857068,0.11184177,0.0024514524
799.png,0,0.34966347,0.31737575,0.33296075
800.png,2,0.00065566605,0.048313003,0.9510313
802.png,2,0.0015617475,0.08671189,0.91172636
806.png,0,0.5846755,0.40095007,0.014374452
825.png,1,0.4587068,0.48597118,0.05532204
826.png,2,0.005501704,0.17815559,0.8163427
828.png,0,0.62153584,0.34519872,0.03326545
829.png,2,0.0037909795,0.11866874,0.87754035
833.png,2,0.006523538,0.21180339,0.78167313
834.png,0,0.5841026,0.36743593,0.048461497
838.png,1,0.44181624,0.47769287,0.08049085
840.png,0,0.99999535,4.48274e-06,9.537331e-08
865.png,0,0.99999726,2.770378e-06,1.27929915e-11
868.png,0,0.9262441,0.0730633,0.0006926095
871.png,1,0.096875675,0.6071459,0.2959784
878.png,0,0.995634,0.004229445,0.00013651286
882.png,1,0.21014492,0.4516861,0.33816892
883.png,2,0.045360174,0.35957184,0.595068
884.png,2,0.0033298293,0.10760727,0.8890629
885.png,2,0.00095734076,0.055401366,0.9436413
886.png,2,0.0024304122,0.10862612,0.8889435
887.png,1,0.27327684,0.6518708,0.07485233
888.png,1,0.12103661,0.62360686,0.25535655
889.png,1,0.42716333,0.48823234,0.084604315
890.png,1,0.034735337,0.53465515,0.43060952
891.png,1,0.04463044,0.5273338,0.4280357
892.png,1,0.041244276,0.5190385,0.43971717
893.png,1,0.08969263,0.7600795,0.15022787
894.png,2,0.009623201,0.25926673,0.7311101
895.png,0,0.99960357,0.00039623503,2.8774687e-07
896.png,1,0.47458792,0.51269287,0.01271924
897.png,1,0.41986462,0.5033926,0.07674282
898.png,2,0.023488862,0.33644897,0.64006215
899.png,0,0.9919906,0.007895944,0.0001133549
900.png,2,0.0107411025,0.26757467,0.7216843
901.png,1,0.18430589,0.68408555,0.13160852
902.png,0,0.5544314,0.43729752,0.008271109
903.png,1,0.22021005,0.69561434,0.0841757
904.png,2,0.006919898,0.20306368,0.7900165
905.png,0,0.9458972,0.053707764,0.00039494294
906.png,1,0.14078058,0.6646385,0.19458093
907.png,2,0.0009008138,0.06082251,0.93827665
908.png,2,0.026472785,0.3766349,0.59689236
909.png,2,0.024326438,0.35052451,0.625149
910.png,0,0.84560764,0.14696185,0.007430454
